Brand;Model;Price;Type;Weight ;Frame Size;Rear Derailleur;Speed;Fork;Brakes
Vitus;Nucleus 29 VRS Mountain Bike 2021;699,99;Mountain;TBC;L, XL, M;Shimano Deore M5120, Shadow Plus, Long Cage, 10 Speed;10 Speed;SR Suntour xCR32 Boost Air Lor Ds 29” Tapered Alloy Steerer, 120mm Travel, Post Mount Disc Brake Mounts, 110mm x 15mm Thru Axle;Tektro Hd-m290
Kona;Mahuna Hardtail Bike 2021;759;Mountain;------;L, M, S, XL;Shimano Deore, 11-Speed;11 Speed;RockShox Judy Silver TK Solo Air 100mm;Shimano RT10 180mm (centerlock)
Cube;Attention 29 Hardtail Bike 2021;799;Mountain;13.7kg;"53cm (21""), 43.5cm (17""), 59cm (23""), 48cm (19"")";Shimano Deore RD-M4120-SGS, 10-Speed;20 Speed;RockShox Judy Silver TK AIR, 100mm, PopLoc;Shimano BR-MT200, Hydr. Disc Brake (180/160)
Cube;Attention Hardtail Bike 2021;799;Mountain;13.7kg;"48cm (19""), 59cm (23""), 53cm (21"")";Shimano Deore RD-M4120-SGS, 10-Speed;20 Speed;RockShox Judy Silver TK AIR, 100mm, PopLoc;Shimano BR-MT200, Hydr. Disc Brake (180/160)
Vitus;Sentier 27 Mountain Bike 2021;849,99;Mountain;TBC;M, XL, L, S;Shimano Deore M5120, Shadow Plus, Long Cage, 10 Speed;10 Speed;X-Fusion Rc32 Boost 27.5” Rc Damper, 32mm Stanchions, 130mm Travel, Tapered Alloy Steerer, Boost Hub Spacing – 110mm X 15mm Thru Axle;Tektro Hd-m290 Design For Post Mount
Vitus;Sentier 29 Mountain Bike 2021;849,99;Mountain;TBC;XL, L, M;Shimano Deore M5120, Shadow Plus, Long Cage, 10 Speed;10 Speed;X-Fusion RC32 Boost 29”, RC damper, 32mm stanchions, 130mm travel, tapered alloy steerer, Boost hub spacing – 110mm x 15mm thru axle;Tektro HD-M290, DESIGN FOR POST MOUNT
Cube;Attention SL 29 Hardtail Bike 2021;899;Mountain;------;"53cm (21""), 43.5cm (17""), 59cm (23""), 48cm (19"")";Shimano XT RD-M8100-SGS, ShadowPlus, 12-Speed;24 Speed;RockShox Judy Silver TK AIR, 100mm, PopLoc;Shimano BR-MT200, Hydr. Disc Brake (180/160)
Kona;Kahuna Hardtail Bike 2021;899;Mountain;------;S, L, M, XL;Shimano Deore 12-Speed;12 Speed;Rockshox Recon Silver Rl Solo Air 100mm Tapered 110mm Spacing;Shimano Rt10 180mm
Octane One;Prone Trail Hardtail Bike 2021;899;Mountain;------;L, M;Shimano Deore M6000 10sp;10 Speed;Suntour XCM34 Boost, 130mm travel;Shimano MT-200 hydraulic disc
Octane One;Sour All Mountain Hardtail Bike 2021;899;Mountain;13.5kg;M, L, S;Shimano Deore RD-M6000 10sp;------;Suntour XCR34 Air 140mm, LOR-DS;Shimano MT-200 / 180mm rotor
